Title	Category
David Stagg	Person
Amaranthus mantegazzianus	redirect::Amaranthus caudatus
Amaranthus quitensis	redirect::Amaranthus hybridus
Maud Queen of Norway	redirect::Maud of Wales
Milligram per litre	redirect::Gram per litre
Utica Psychiatric Center	Location
Olean Wholesale Grocery	C_Company
Queen Tiye	redirect::Tiye
Queen Hatshepsut	redirect::Hatshepsut
Clibanarii	Other/None
Political documentary	redirect::Documentary film
Final fantasy legends	redirect::Final Fantasy Dimensions
Queen Marie Amelie Therese	redirect::Maria Amalia of Naples and Sicily
Political documentaries	redirect::Documentary film
E-767	redirect::Boeing E-767
Prince Edward-Lennox	redirect::Prince Edward—Lennox
Arthur Hill (actor)	Person
Periodic paralysis	Other
Greenstripe	redirect::Amaranthus acanthochiton
Amaranthus cruentus	Other/None
Careless weed	redirect::Amaranthus palmeri
Zamil idris	redirect::Ahmad Zamil
Khada sag	redirect::Amaranthus dubius
Million instructions per second	redirect::Instructions per second#Millions of instructions per second (MIPS)
Ashtadiggajas	Other/None
John C.Harsanyi	redirect::John Harsanyi
Société entomologique de France	C_Organization
Sangorache	redirect::Amaranthus hybridus
Joseph's coat	redirect::Coat of many colors
Recipients of the Distinguished Service Award of the Order of the Arrow	C_Organization
Josephscoat	redirect::Amaranthus tricolor
Joseph's-coat	redirect::Amaranthus tricolor
URM Stores	C_Company
General purpose technology	Other/None
Rough skinned newt	redirect::Rough-skinned newt
Queen Sophie Dorothea of Hanover	redirect::Sophia Dorothea of Hanover
Cefepime	Other/None
Larry Zerner	Person
World of Illushions Starring Mickey Mouse and Donald Duck	redirect::World of Illusion
Category:Aberdeen, Hong Kong	C_Location
United Retail Merchants	redirect::URM Stores
Plassenburg	Other/None
U.R.M.	redirect::URM Stores
Turriaco	Location
Piggly Wiggly Alabama Distributing Company	redirect::Piggly Wiggly
Queen Eleanor of Aquitaine	redirect::Eleanor of Aquitaine
Crenshaw Company	Other/None
Osmia ribifloris	Other/None
San Pier d'Isonzo	Location
Early life of Hugo Chávez	Person
1974–75 NHL season	Other
Demorrio Williams	A_Person
Contact explosive	Other/None
Bartley Secondary School	A_Location
Tom Ayrton	Other
Система	redirect::Systema (disambiguation)
Bedloe	redirect::Liberty Island
Cape Camarón	C_Location
Reece Williams	Person
Amariah Brigham	Other/None
Microsoft MultiPlan	redirect::Multiplan
Asadullah Rahman	redirect::List of Afghan detainees at Guantanamo Bay
IMac DV	redirect::IMac G3
Gute Bücher für Alle	C_Organization
Howard Koh	Person
Cefotaxime	Other/None
The Ghost of the Grotto	Other
Cwm-yr-Eglwys	Location
Land Beneath the Ground!	Other
The Immortals (band)	Other/None
Category:Spanish handball players	C_Person
Michael Sullivan (rugby league)	Person
Polyisocyanurate	Other/None
Blueberry Bee	redirect::Blueberry bee
Littlejohn adaptor	Other/None
Step Up (pricing game)	redirect::List of The Price Is Right pricing games
Canon T-80	redirect::Canon T80
Grossauheim	redirect::Großauheim
Yasuo Hamanaka	C_Person
Rubel Castle	Location
Columbus before the Council of Salamanca	redirect::Christopher Columbus Before the Council of Salamanca
Gag names	redirect::Gag name
David Simmons (rugby league)	Person
Save the Best for Last	Other
Ken Sagoes	Person
Buedingen, Hesse	redirect::Büdingen
Excise Tax	redirect::Excise
5th Marine Regiment	Other
Eve Johnstone	Person
Emergencies in India	redirect::President of India#Emergency powers
Ray of Creation	Other/None
Swap Meet (pricing game)	redirect::List of The Price Is Right pricing games
State Emergency in India	redirect::President of India#Emergency powers
List of presidents of Mississippi State University	Other/None
National Emergency in India	redirect::President of India#Emergency powers
Financial Emergency in India	redirect::President of India#Financial emergency
Fish disks	redirect::Fred Fish
Gross-Gerau	redirect::Groß-Gerau
Gag name	Other/None
Chaharbagh, Isfahan	C_Location
