Title	Category
1980 in Afghanistan	Other/None
Memorial Stadium (Savannah)	A_Location
List of the oldest living people	Other/None
Wine/water mixing problem	Other/None
Howard Andrew	Person
United States Post Office (Port Jervis, New York)	Location
Copenhagen, NY	redirect::Copenhagen, New York
Cape Vincent, NY	redirect::Cape Vincent, New York
Darkest of Days	Other
Lois Long aka Lipstick	redirect::Lois Long
Frankish kingdoms	redirect::Francia
Frankenreich	redirect::Francia
Regnum Francorum	redirect::Francia
Su Sen-yong	C_Person
Last Christmas / Close to You (Whigfield song)	redirect::Last Christmas
Mark Wade	Person
Heathcote (surname)	Other/None
Delbert Baker	Person
Doki Doki Majo Shinpan	redirect::Doki Doki Majo Shinpan!
Topes de Collantes	Location
Penelec	redirect::FirstEnergy
Rank-n polymorphism	redirect::Parametric polymorphism#Higher-ranked polymorphism
Bánh da lợn	Other
Failsafe (band)	redirect::Failsafe (UK band)
Banh da lon	redirect::Bánh da lợn
Adailton de Jesus	Person
Afghanistan timeline 1981–1985	redirect::1981 in Afghanistan
ANSI C++	redirect::C++
Big Time (Whigfield song)	C_Person
1982 in Afghanistan	Other/None
Milana Terloeva	Person
Causes of the Indian Rebellion of 1857	Other/None
Category:Wikipedian social workers	Other/None
1983 in Afghanistan	Other/None
Cuisine of hyderabad	redirect::Hyderabadi cuisine
"Hokuto ""Hok"" Konishi"	Person
Category:Agatsuma Line	Other/None
Pennsylvania Electric Company	redirect::FirstEnergy
Impredicative polymorphism	redirect::Parametric polymorphism
Predicative polymorphism	redirect::Parametric polymorphism
Metropolitan Edison Company	redirect::FirstEnergy
1984 in Afghanistan	Other/None
Rank n polymorphism	redirect::Parametric polymorphism#Higher-ranked polymorphism
Category:Akabane Line	Other/None
Pennsylvania Power Company	redirect::FirstEnergy
Mt Pigeon House	redirect::Pigeon_House_Mountain
Baroness Nica de Koenigswarter	redirect::Pannonica de Koenigswarter
First class polymorphism	redirect::Parametric polymorphism
Wolfchase, Memphis	Other/None
File:Mike's ealge talon 1992 tsi awd.JPG	Other/None
Category:Echigo Line	Other/None
Airway Obstruction	redirect::airway obstruction
List of Commandants of Berlin Sectors	Other/None
1985 in Afghanistan	Other/None
Love & Life: The Very Best of Diana Ross	Other
SunCoast Airlines	C_Company
Category:Jōetsu Line	Other/None
Farm to Market Road 390	redirect::List of Farm to Market Roads in Texas (300–399)#FM 390
Farm to Market Road 270 (Texas)	redirect::Farm to Market Road 270
Texas Farm to Market Road 270	redirect::Farm to Market Road 270
FM 270	redirect::Farm to Market Road 270
FM 270 (TX)	redirect::Farm to Market Road 270
Farm Road 270	redirect::Farm to Market Road 270
Hot Lake Hotel	Location
Urban Road 270	redirect::Farm to Market Road 270
Judah Cassuto	C_Person
Medieval garden	redirect::Monastic garden
Banh da heo	redirect::Bánh da lợn
Bánh da heo	redirect::Bánh da lợn
Sua Vida Me Pertence	Other
Obstruct	redirect::obstruction
Elements of a novel	redirect::Fiction
Armenian Genocide Denial	redirect::Armenian Genocide denial
Elements of fiction	redirect::Fiction
Elements of a story	redirect::Fiction
Elements of a yarn	redirect::Fiction
Bánh khoai mì	Other
Au bonheur des dames	redirect::Au Bonheur des Dames
Ferrocarril del sur de Peru	redirect::PeruRail
Banh khoai mi	redirect::Bánh khoai mì
Secure Computing Corporation	Company
Lethaea	Other/None
Baby Boy (Whigfield song)	redirect::Whigfield II
Bánh khoai mì nướng	redirect::Bánh khoai mì
Osman Faruk Logoglu	redirect::Osman Faruk Loğoğlu
Bánh khoai mì hấp	redirect::Bánh khoai mì
2002 Cup of Russia	Other
Wikipedia:Requests for adminship/Fortyniners9999	Other/None
Conspiracy thriller film	redirect::Conspiracy fiction
Banh khoai mi nuong	redirect::Bánh khoai mì
Far East Station	redirect::Far East Fleet (United Kingdom)
Hope Holiday	Person
Spirit of guidance	redirect::Spirit of Guidance
Banh khoai mi hap	redirect::Bánh khoai mì
Ecotourism in south africa	redirect::Ecotourism in South Africa
Media story	redirect::News style
Milana Bakhaeva	redirect::Milana Terloeva
Milana Terloyeva	redirect::Milana Terloeva
List of net idols	Other/None
Cusco - Machu Picchu	redirect::PeruRail
